"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000GwyEgGAJ","0018a0000287HIIAA2","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-10 18:16:27","0058a00000MNWteAAH","2023-03-10 18:16:27"
"0JB8a00000GwyF5GAJ","0018a0000287HFKAA2","0MI8a0000004gDPGAY","Territory2AssignmentRule","001","0","2023-03-10 18:19:20","0058a00000MNWteAAH","2023-03-10 18:19:20"
"0JB8a00000GwyddGAB","0018a0000287XNRAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:40:38","0058a00000MNWtKAAX","2023-03-13 13:40:38"
"0JB8a00000GwydeGAB","0018a0000287XNSAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:44:22","0058a00000MNWtKAAX","2023-03-13 13:44:22"
"0JB8a00000GwydiGAB","0018a0000287XOFAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:43:03","0058a00000MNWtKAAX","2023-03-13 13:43:03"
"0JB8a00000GwydnGAB","0018a0000287XPSAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:46:17","0058a00000MNWtKAAX","2023-03-13 13:46:17"
"0JB8a00000GwydoGAB","0018a0000287XPTAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:50:09","0058a00000MNWtKAAX","2023-03-13 13:50:09"
"0JB8a00000GwydsGAB","0018a0000287XQBAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:48:13","0058a00000MNWtKAAX","2023-03-13 13:48:13"
"0JB8a00000Gwye2GAB","0018a0000287XROAA2","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:52:07","0058a00000MNWtKAAX","2023-03-13 13:52:07"
"0JB8a00000Gwye7GAB","0018a0000287XS7AAM","0MI8a0000004gDUGAY","Territory2AssignmentRule","001","0","2023-03-13 13:53:33","0058a00000MNWtKAAX","2023-03-13 13:53:33"
