"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","UserId","AppDefinitionId","TabDefinitionId","Target","TargetEntityTypeId","TargetContext","IsNameOverridden","SortOrder"
"0Qk8a000000fArVCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Quote","","TabDefinition","Tab","0","15"
"0Qk8a000000fArWCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Product2","","TabDefinition","Tab","0","16"
"0Qk8a000000fArXCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","0KD8a000000J6n4GAC","","TabDefinition","Tab","0","17"
"0Qk8a000000fArYCAU","0","","2023-01-09 10:52:11","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","2023-01-10 21:46:47","0058a00000LLRscAAH","06m8a000001ToL3AAK","Feed","","TabDefinition","Tab","0","18"
"0Qk8a000000fBbRCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","home","","TabDefinition","Tab","0","1"
"0Qk8a000000fBbSCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","Forecasting3","","TabDefinition","Tab","0","2"
"0Qk8a000000fBbTCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","Opportunity","","TabDefinition","Tab","0","3"
"0Qk8a000000fBbUCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","Lead","","TabDefinition","Tab","0","4"
"0Qk8a000000fBbVCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","Account","","TabDefinition","Tab","0","5"
"0Qk8a000000fBbWCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","Contact","","TabDefinition","Tab","0","6"
"0Qk8a000000fBbXCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","Dashboard","","TabDefinition","Tab","0","7"
"0Qk8a000000fBbYCAU","0","","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","2023-01-20 21:33:52","0058a00000MNWtZAAX","06m8a000000tafmAAA","0KD8a000000J6n4GAC","","TabDefinition","Tab","0","8"
"0Qk8a000000fBv4CAE","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","home","","TabDefinition","Tab","0","1"
"0Qk8a000000fBv5CAE","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","Lead","","TabDefinition","Tab","0","2"
"0Qk8a000000fBv6CAE","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","Forecasting3","","TabDefinition","Tab","0","3"
"0Qk8a000000fBv7CAE","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","Account","","TabDefinition","Tab","0","4"
"0Qk8a000000fBv8CAE","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","Contact","","TabDefinition","Tab","0","5"
"0Qk8a000000fBv9CAE","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","Opportunity","","TabDefinition","Tab","0","6"
"0Qk8a000000fBvACAU","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","Dashboard","","TabDefinition","Tab","0","7"
"0Qk8a000000fBvBCAU","0","","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","2023-01-24 19:00:44","0058a00000MNe16AAD","06m8a000000tafmAAA","0KD8a000000J6n4GAC","","TabDefinition","Tab","0","8"
"0Qk8a000000h1AiCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","home","","TabDefinition","Tab","0","1"
"0Qk8a000000h1AjCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Account","","TabDefinition","Tab","0","2"
"0Qk8a000000h1AkCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Contact","","TabDefinition","Tab","0","3"
"0Qk8a000000h1AlCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Lead","","TabDefinition","Tab","0","4"
"0Qk8a000000h1AmCAI","0","","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","2022-05-25 20:38:02","0058a00000LLRscAAH","06m8a000000eQbZAAU","Opportunity","","TabDefinition","Tab","0","5"
