"Id","RelationId","EventId","ChildEventId","IsWhat","IsParent","IsInvitee","AccountId","Status","RespondedDate","Response","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted"
"0RT8a00003aSQKeGAO","0038a00003HUN3ZAAX","00T8a00008CCB4EEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKfGAO","0038a00003HUNBHAA5","00T8a00008CCB4FEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKgGAO","0038a00003A1ZaSAAV","00T8a00008CCB4GEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKhGAO","0038a00003FWZkgAAH","00T8a00008CCB4HEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKiGAO","0038a00003FWZkfAAH","00T8a00008CCB4IEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKjGAO","0038a00003HUN4mAAH","00T8a00008CCB4JEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKkGAO","0038a00003HUN4nAAH","00T8a00008CCB4KEAX","","0","1","0","0018a000024zB9mAAE","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKlGAO","0XB8a000000oh6ZGAQ","00T8a00008CC9EJEA1","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKmGAO","0XB8a000000oh6ZGAQ","00T8a00008CC9EKEA1","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKnGAO","0XB8a000000oh6ZGAQ","00T8a00008CC9ELEA1","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKoGAO","0XB8a000000oh6ZGAQ","00T8a00008CC9EMEA1","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKpGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4DEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKqGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4EEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKrGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4FEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKsGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4GEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKtGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4HEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKuGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4IEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKvGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4JEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQKwGAO","0XB8a000000oh6ZGAQ","00T8a00008CCB4KEAX","","1","1","0","","","","","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0058a00000MNWtKAAX","2023-04-26 16:56:46","0"
"0RT8a00003aSQNpGAO","0058a00000MNWtKAAX","00T8a00008CCB6EEAX","","0","0","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNqGAO","0058a00000MNWtKAAX","00T8a00008CCB6FEAX","","0","0","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNrGAO","0058a00000MNWtKAAX","00T8a00008CCB6GEAX","","0","0","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNsGAO","0058a00000MNWtKAAX","00T8a00008CCB6HEAX","","0","0","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNtGAO","0058a00000MNWtKAAX","00T8a00008CCB6IEAX","","0","0","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNuGAO","0058a00000MNWtKAAX","00T8a00008CCB6JEAX","","0","0","0","","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNvGAO","0038a00003DOS4sAAH","00T8a00008CCB6EEAX","","0","1","0","0018a000024zBBFAA2","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNwGAO","0038a00003DOS3VAAX","00T8a00008CCB6FEAX","","0","1","0","0018a000024zBBFAA2","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNxGAO","0038a00003A0xXDAAZ","00T8a00008CCB6GEAX","","0","1","0","0018a000024zBBFAA2","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNyGAO","0038a00003A1AczAAF","00T8a00008CCB6HEAX","","0","1","0","0018a000024zBBFAA2","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQNzGAO","0038a000037JAByAAO","00T8a00008CCB6IEAX","","0","1","0","0018a000024zBBFAA2","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
"0RT8a00003aSQO0GAO","0038a00003DORsNAAX","00T8a00008CCB6JEAX","","0","1","0","0018a000024zBBFAA2","","","","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0058a00000MNWtKAAX","2023-04-26 16:57:38","0"
