"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Score","FeatureType","RecordId"
"66Z8a0000009Dk0EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-06-04 08:07:37","0058a00000LLuwkAAD","2023-06-04 08:07:37","8","OpportunityScore","0068a00001JNDsJAAX"
"66Z8a0000009Dk1EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","88","OpportunityScore","0068a00001JMmF2AAL"
"66Z8a0000009Dk2EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-22 05:49:20","0058a00000LLuwkAAD","2023-05-22 05:49:20","72","OpportunityScore","0068a00001M8WCSAA3"
"66Z8a0000009Dk3EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-08-29 03:40:43","0058a00000LLuwkAAD","2023-08-29 03:40:43","99","OpportunityScore","0068a00001M8WCRAA3"
"66Z8a0000009Dk4EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-02-14 00:02:28","","OpportunityScore","0068a00001M8WCWAA3"
"66Z8a0000009Dk5EAE","0","prevScoreValue","MXN","2023-02-14 00:02:28","0058a00000LLuwkAAD","2023-05-23 08:17:54","0058a00000LLuwkAAD","2023-05-23 08:17:54","16","OpportunityScore","0068a00001JMv7DAAT"
"66Z8a0000009DpJEAU","0","prevScoreValue","MXN","2023-02-15 08:07:35","0058a00000LLuwkAAD","2023-04-17 20:36:39","0058a00000LLuwkAAD","2023-04-17 20:36:39","69","OpportunityScore","0068a00001MYbz5AAD"
"66Z8a0000009E0CEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-18 11:30:46","0058a00000LLuwkAAD","2023-04-18 11:30:46","19","OpportunityScore","0068a00001MYsX1AAL"
"66Z8a0000009E0DEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","80","OpportunityScore","0068a00001MYsNpAAL"
"66Z8a0000009E0EEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","65","OpportunityScore","0068a00001MYsNqAAL"
"66Z8a0000009E0FEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","13","OpportunityScore","0068a00001MYsDqAAL"
"66Z8a0000009E0GEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","2","OpportunityScore","0068a00001MYsDpAAL"
"66Z8a0000009E0HEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","65","OpportunityScore","0068a00001MYsYdAAL"
"66Z8a0000009E0IEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-14 22:44:54","0058a00000LLuwkAAD","2023-04-14 22:44:54","36","OpportunityScore","0068a00001MYsNBAA1"
"66Z8a0000009E0JEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-14 22:44:54","0058a00000LLuwkAAD","2023-04-14 22:44:54","38","OpportunityScore","0068a00001MYsQoAAL"
"66Z8a0000009E0KEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","50","OpportunityScore","0068a00001MYsQuAAL"
"66Z8a0000009E0LEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","54","OpportunityScore","0068a00001MYsQtAAL"
"66Z8a0000009E0MEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-06-12 18:11:15","0058a00000LLuwkAAD","2023-06-12 18:11:15","7","OpportunityScore","0068a00001MYsGuAAL"
"66Z8a0000009E0NEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-18 11:30:46","0058a00000LLuwkAAD","2023-04-18 11:30:46","19","OpportunityScore","0068a00001MYsGtAAL"
"66Z8a0000009E0OEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","88","OpportunityScore","0068a00001MYsTeAAL"
"66Z8a0000009E0PEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","92","OpportunityScore","0068a00001MYsTdAAL"
"66Z8a0000009E0QEAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","65","OpportunityScore","0068a00001MYsaQAAT"
"66Z8a0000009E0REAU","0","prevScoreValue","MXN","2023-02-17 13:08:48","0058a00000LLuwkAAD","2023-04-30 12:53:09","0058a00000LLuwkAAD","2023-04-30 12:53:09","42","OpportunityScore","0068a00001MYsE4AAL"
